foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
turkey sandwich.jpg,stimuli/food/,stimuli/food/turkey sandwich.jpg,0,0,0,0,0,0,0,71,12.514139000035357,12.514139000035357,right,0.08789210004033521,12.681342000025325,14.71468030003598,7.41625,2.013147099991329,1,[0.49978299997746944],[0.49979010003153235],666,food,0,1,BR,1,2023-07-17_14h42.11.604,crystals,2022.2.4,60.0143554453196,
Whole milk.jpg,stimuli/food/,stimuli/food/Whole milk.jpg,0,0,0,0,0,1,1,72,,,,,15.76436879998073,16.264944800001103,4.57,0.48395830002846196,2,"[0.49978299997746944, 0.4669813000364229]","[0.49979010003153235, 0.4669869000208564]",666,food,0,1,BR,1,2023-07-17_14h42.11.604,crystals,2022.2.4,60.0143554453196,
,,,,,,,,,,,,,,,17.266352400009055,,,,,,,,,,,,,,,,,
