foodItem,path,image,rateFoodLoop.thisRepN,rateFoodLoop.thisTrialN,rateFoodLoop.thisN,rateFoodLoop.thisIndex,foodImage.started,button.started,food_slider.response,food_slider.rt,button.numClicks,button.timesOn,button.timesOff,participant,group,extra,practice,rainbow,date,expName,psychopyVersion,frameRate,
Hershey Kisses.jpg,stimuli/food/,stimuli/food/Hershey Kisses.jpg,0,0,0,33,9.552203600062057,9.552203600062057,None,None,1,[6.645606399979442],[6.645612600026652],666,,0,1,BR,2023-06-23_10h31.10.458,crystals,2022.2.4,60.049600956597565,
,,,,,,,17.547671400010586,17.547671400010586,,,,,,,,,,,,,,,
