foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,date,expName,psychopyVersion,frameRate,
steak.jpg,stimuli/food/,stimuli/food/steak.jpg,0,0,0,0,0,0,0,64,22.144808399956673,22.144808399956673,right,10.60974880005233,32.87850019999314,36.77888739993796,7.6225000000000005,12.283643000060692,1,[8.901708699995652],[8.90171519992873],666,food,0,1,BR,2023-06-24_08h48.32.959,crystals,2022.2.4,30.152459878398755,
mashed potato.jpg,stimuli/food/,stimuli/food/mashed potato.jpg,0,0,0,0,0,1,1,40,,,,,46.19482689991128,48.345506399986334,6.3999999999999995,2.1158645999385044,2,"[8.901708699995652, 0.916859699995257]","[8.90171519992873, 0.9168696999549866]",666,food,0,1,BR,2023-06-24_08h48.32.959,crystals,2022.2.4,30.152459878398755,
,,,,,,,,,,,,,,,49.77857749990653,,,,,,,,,,,,,,,,
