foodItem,path,image,rateFoodLoop.thisRepN,rateFoodLoop.thisTrialN,rateFoodLoop.thisN,rateFoodLoop.thisIndex,foodImage.started,food_slider.response,food_slider.rt,participant,group,extra,practice,rainbow,date,expName,psychopyVersion,frameRate,
cookies.jpg,stimuli/food/,stimuli/food/cookies.jpg,0,0,0,19,10.607003399985842,6.98875,6.167421399964951,666,,0,1,BR,2023-06-23_10h22.36.983,crystals,2022.2.4,59.90211997169391,
Whole milk.jpg,stimuli/food/,stimuli/food/Whole milk.jpg,0,1,1,72,17.8061779999407,8.99875,2.333898500073701,666,,0,1,BR,2023-06-23_10h22.36.983,crystals,2022.2.4,59.90211997169391,
,,,,,,,21.189707599929534,,,,,,,,,,,,
