foodItem,path,image,rateFoodLoop.thisRepN,rateFoodLoop.thisTrialN,rateFoodLoop.thisN,rateFoodLoop.thisIndex,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,date,expName,psychopyVersion,frameRate,
doughnuts.jpg,stimuli/food/,stimuli/food/doughnuts.jpg,0,0,0,23,10.242037100018933,12.283798400079831,1.9787500000000002,4.920085999998264,1,[3.501372499973513],[3.5013795000268146],666,,0,1,BR,2023-06-23_10h46.19.427,crystals,2022.2.4,60.009673535228494,
brownie.jpg,stimuli/food/,stimuli/food/brownie.jpg,0,1,1,12,16.83375240000896,18.718571300036274,9.0025,1.8834878000197932,2,"[3.501372499973513, 1.6831015999196097]","[3.5013795000268146, 1.6831086999736726]",666,,0,1,BR,2023-06-23_10h46.19.427,crystals,2022.2.4,60.009673535228494,
kiwi.jpg,stimuli/food/,stimuli/food/kiwi.jpg,0,2,2,36,21.43383570003789,22.917385200038552,5.2225,1.4668900000397116,3,"[3.501372499973513, 1.6831015999196097, 9.399366299971007]","[3.5013795000268146, 1.6831086999736726, 9.399371600011364]",666,,0,1,BR,2023-06-23_10h46.19.427,crystals,2022.2.4,60.009673535228494,
,,,,,,,33.35052730003372,34.767248400021344,,,,,,,,,,,,,,,
