foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,check_space_key.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,check_space_key.keys,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
avacado.jpg,stimuli/food/,stimuli/food/avacado.jpg,0,0,0,0,0,0,0,4,12.487221399962436,12.487221399962436,right,0.20049170003039762,12.821535099996254,14.287470999988727,14.287470999988727,2.48125,8.223774300015066,1,[7.8349546999670565],[7.834960599953774],None,666,food,0,1,BR,1,2023-07-17_15h02.40.730,crystals,2022.2.4,59.9183791971195,
Skim milk.jpg,stimuli/food/,stimuli/food/Skim milk.jpg,0,0,0,0,0,1,1,60,,,,,22.654572499974165,23.121462300012354,23.121462300012354,6.7075,0.4494774999911897,2,"[7.8349546999670565, 0.8844051000196487]","[7.834960599953774, 0.8844108000048436]",None,666,food,0,1,BR,1,2023-07-17_15h02.40.730,crystals,2022.2.4,59.9183791971195,
,,,,,,,,,,,,,,,24.554794800002128,,,,,,,,,,,,,,,,,,,
