foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
avacado.jpg,stimuli/food/,stimuli/food/avacado.jpg,0,0,0,0,0,0,0,4,41.20237369998358,41.20237369998358,right,0.3033564999932423,41.585668899992015,43.23619379999582,7.46875,2.305981299956329,1,[1.6845920999767259],[1.6845968999550678],666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
mac & cheese.jpg,stimuli/food/,stimuli/food/mac & cheese.jpg,0,0,0,0,0,1,1,39,,,,,45.4522654999746,45.918543500010855,9.34375,0.4488132999977097,2,"[1.6845920999767259, 0.8337809999939054]","[1.6845968999550678, 0.8337862000335008]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
grilled cheese.jpg,stimuli/food/,stimuli/food/grilled cheese.jpg,0,0,0,0,0,2,2,31,,,,,47.285754399956204,48.28527779999422,1.9825000000000002,0.9835105999954976,3,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
peaches.jpg,stimuli/food/,stimuli/food/peaches.jpg,0,0,0,0,0,3,3,46,,,,,49.552235799958,50.05232439999236,3.535,4.1861383999930695,4,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
rigatoni and sauce.jpg,stimuli/food/,stimuli/food/rigatoni and sauce.jpg,0,0,0,0,0,4,4,54,,,,,54.81936009996571,55.30247799999779,4.46125,0.4666696999920532,5,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974, 0.46825400000670925]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022, 0.46826570003759116]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
baby cheese.jpg,stimuli/food/,stimuli/food/baby cheese.jpg,0,0,0,0,0,5,5,5,,,,,56.30239999998594,56.736684900010005,5.545,0.41747680003754795,6,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974, 0.46825400000670925, 0.7669633000041358]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022, 0.46826570003759116, 0.7669688999885693]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
cookies.jpg,stimuli/food/,stimuli/food/cookies.jpg,0,0,0,0,0,6,6,19,,,,,58.03566629998386,58.553524899994954,6.4225,0.5008944000001065,7,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974, 0.46825400000670925, 0.7669633000041358, 0.6345606000395492]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022, 0.46826570003759116, 0.7669688999885693, 0.6345662000239827]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
orange slices.jpg,stimuli/food/,stimuli/food/orange slices.jpg,0,0,0,0,0,7,7,44,,,,,59.73595729999943,60.33555889996933,7.55125,0.5835553000215441,8,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974, 0.46825400000670925, 0.7669633000041358, 0.6345606000395492, 0.5502096999553032]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022, 0.46826570003759116, 0.7669688999885693, 0.6345662000239827, 0.5502160000032745]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
hotdog w must.jpg,stimuli/food/,stimuli/food/hotdog w must.jpg,0,0,0,0,0,8,8,34,,,,,61.419862399983685,61.769863199966494,8.55625,0.3322506999829784,9,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974, 0.46825400000670925, 0.7669633000041358, 0.6345606000395492, 0.5502096999553032, 0.5015247000264935]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022, 0.46826570003759116, 0.7669688999885693, 0.6345662000239827, 0.5502160000032745, 0.5015534000121988]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
rice cakes.jpg,stimuli/food/,stimuli/food/rice cakes.jpg,0,0,0,0,0,9,9,53,,,,,62.81910289998632,63.25322769995546,9.39625,0.4162297999719158,10,"[1.6845920999767259, 0.8337809999939054, 0.7335125000099652, 4.218718499992974, 0.46825400000670925, 0.7669633000041358, 0.6345606000395492, 0.5502096999553032, 0.5015247000264935, 0.5334193000453524]","[1.6845968999550678, 0.8337862000335008, 0.7335207000141963, 4.218725099985022, 0.46826570003759116, 0.7669688999885693, 0.6345662000239827, 0.5502160000032745, 0.5015534000121988, 0.5334255000343546]",666,food,0,1,BR,1,2023-07-17_14h19.11.061,crystals,2022.2.4,60.085609964439804,
