foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,check_space_key.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,check_space_key.keys,check_space_key.rt,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
yellow popcorn.jpg,stimuli/food/,stimuli/food/yellow popcorn.jpg,0,0,0,0,0,0,0,73,15.20763789996272,15.20763789996272,right,0.2859786999761127,15.574556100007612,17.407260600011796,17.407260600011796,7.202500000000001,1.8212176999659277,0,,,space,0.8920795999583788,666,food,0,1,BR,1,2023-07-18_11h32.21.994,crystals,2022.2.4,59.87661824894223,
PB.jpg,stimuli/food/,stimuli/food/PB.jpg,0,0,0,0,0,1,1,45,,,,,18.873947399959434,19.775102099985816,19.775102099985816,3.46,0.8833036000141874,0,,,space,0.18525179999414831,666,food,0,1,BR,1,2023-07-18_11h32.21.994,crystals,2022.2.4,59.87661824894223,
,,,,,,,,,,,,,,,20.541301299992483,,,,,,,,,,,,,,,,,,,,
