foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
kiwi.jpg,stimuli/food/,stimuli/food/kiwi.jpg,0,0,0,0,0,0,0,36,66.68855799996527,66.68855799996527,right,0.14004249998833984,66.90514839999378,68.18846899998607,7.675000000000001,1.2663125999970362,1,[0.5852160999784246],[0.5852233999758027],666,food,0,1,BR,1,2023-07-17_14h40.14.859,crystals,2022.2.4,60.40861595606112,
baked potato.jpg,stimuli/food/,stimuli/food/baked potato.jpg,0,0,0,0,0,1,1,9,,,,,69.32365380000556,71.77280149998842,5.541250000000001,2.450682800030336,2,"[0.5852160999784246, 0.5181444999761879]","[0.5852233999758027, 0.5181502999621443]",666,food,0,1,BR,1,2023-07-17_14h40.14.859,crystals,2022.2.4,60.40861595606112,
banana.jpg,stimuli/food/,stimuli/food/banana.jpg,0,0,0,0,0,2,2,10,,,,,72.83848949999083,74.17194450000534,8.4175,1.3166685000178404,3,"[0.5852160999784246, 0.5181444999761879, 0.5008141999715008]","[0.5852233999758027, 0.5181502999621443, 0.5008199000149034]",666,food,0,1,BR,1,2023-07-17_14h40.14.859,crystals,2022.2.4,60.40861595606112,
,,,,,,,,,,,,,,,75.20503829995869,,,,,,,,,,,,,,,,,
