foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
Tribe humus pita.jpg,stimuli/food/,stimuli/food/Tribe humus pita.jpg,0,0,0,0,0,0,0,70,14.703155299997889,14.703155299997889,right,0.13422990002436563,14.903442599985283,16.737332999997307,9.1375,1.8046950999996625,1,[0.9011377999559045],[0.9011423999909312],666,food,0,1,BR,1,2023-07-17_14h25.41.067,crystals,2022.2.4,59.739761657705856,
pickles.jpg,stimuli/food/,stimuli/food/pickles.jpg,0,0,0,0,0,1,1,47,,,,,18.599224099947605,19.32491480000317,8.14375,1.139009700040333,2,"[0.9011377999559045, 0.4975906999898143]","[0.9011423999909312, 0.49759520002407953]",666,food,0,1,BR,1,2023-07-17_14h25.41.067,crystals,2022.2.4,59.739761657705856,
1%milk.jpg,stimuli/food/,stimuli/food/1%milk.jpg,0,0,0,0,0,2,2,0,,,,,20.320050699985586,20.920886599982623,7.0675,0.5668265999993309,3,"[0.9011377999559045, 0.4975906999898143, 0.5008735000155866]","[0.9011423999909312, 0.49759520002407953, 0.50087839999469]",666,food,0,1,BR,1,2023-07-17_14h25.41.067,crystals,2022.2.4,59.739761657705856,
mini muffins.jpg,stimuli/food/,stimuli/food/mini muffins.jpg,0,0,0,0,0,3,3,41,,,,,21.920069699990563,22.42000669997651,6.2875000000000005,0.4667757999850437,4,"[0.9011377999559045, 0.4975906999898143, 0.5008735000155866, 0.49982009996892884]","[0.9011423999909312, 0.49759520002407953, 0.50087839999469, 0.49982649995945394]",666,food,0,1,BR,1,2023-07-17_14h25.41.067,crystals,2022.2.4,59.739761657705856,
kiwi.jpg,stimuli/food/,stimuli/food/kiwi.jpg,0,0,0,0,0,4,4,36,,,,,23.41994859999977,23.920122599985916,5.54875,0.4668095000088215,5,"[0.9011377999559045, 0.4975906999898143, 0.5008735000155866, 0.49982009996892884, 0.5343687999993563]","[0.9011423999909312, 0.49759520002407953, 0.50087839999469, 0.49982649995945394, 0.5343756999936886]",666,food,0,1,BR,1,2023-07-17_14h25.41.067,crystals,2022.2.4,59.739761657705856,
,,,,,,,,,,,,,,,24.954660999996122,,,,,,,,,,,,,,,,,
