foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
grilled cheese.jpg,stimuli/food/,stimuli/food/grilled cheese.jpg,0,0,0,0,0,0,0,31,32.78149720001966,32.78149720001966,right,0.7115811999537982,33.598577600030694,35.297745800053235,7.33375,1.7226888000150211,1,[0.5670187000068836],[0.5670241000480019],666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
lollipops.jpg,stimuli/food/,stimuli/food/lollipops.jpg,0,0,0,0,0,1,1,37,,,,,36.39789220003877,36.99796510004671,6.50125,0.5837789000361226,2,"[0.5670187000068836, 0.6003510999726132]","[0.5670241000480019, 0.6003563999547623]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
cherry tomato.jpg,stimuli/food/,stimuli/food/cherry tomato.jpg,0,0,0,0,0,2,2,17,,,,,38.165785200020764,38.69808970001759,2.90125,0.5331044999766164,3,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
froot loops w milk.jpg,stimuli/food/,stimuli/food/froot loops w milk.jpg,0,0,0,0,0,3,3,27,,,,,39.73130410001613,40.364535800006706,1.50625,0.6166997000109404,4,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
Cheese nachos.jpg,stimuli/food/,stimuli/food/Cheese nachos.jpg,0,0,0,0,0,4,4,15,,,,,42.00044670002535,42.53167220001342,2.9987500000000002,1.1176514000399038,5,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565, 0.5027066000038758]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202, 0.5027142000035383]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
ritz.jpg,stimuli/food/,stimuli/food/ritz.jpg,0,0,0,0,0,5,5,56,,,,,43.58146450005006,44.21487340005115,3.2575000000000003,0.633214199973736,6,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565, 0.5027066000038758, 0.434700200043153]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202, 0.5027142000035383, 0.4347076000412926]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
orange slices.jpg,stimuli/food/,stimuli/food/orange slices.jpg,0,0,0,0,0,6,6,44,,,,,45.181552699999884,45.68226410000352,4.60375,0.4837345000123605,7,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565, 0.5027066000038758, 0.434700200043153, 0.7672392000094987]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202, 0.5027142000035383, 0.4347076000412926, 0.7672446999931708]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
baguette oil.jpg,stimuli/food/,stimuli/food/baguette oil.jpg,0,0,0,0,0,7,7,8,,,,,46.997634800034575,47.581545800028834,5.811249999999999,0.5660275000263937,8,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565, 0.5027066000038758, 0.434700200043153, 0.7672392000094987, 0.40063849999569356]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202, 0.5027142000035383, 0.4347076000412926, 0.7672446999931708, 0.40064529998926446]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
chicken nuggets2.jpg,stimuli/food/,stimuli/food/chicken nuggets2.jpg,0,0,0,0,0,8,8,18,,,,,48.531161300023086,48.965150200005155,6.557499999999999,0.4144070000038482,9,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565, 0.5027066000038758, 0.434700200043153, 0.7672392000094987, 0.40063849999569356, 0.40198680001776665]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202, 0.5027142000035383, 0.4347076000412926, 0.7672446999931708, 0.40064529998926446, 0.4019935000105761]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
sour patch.jpg,stimuli/food/,stimuli/food/sour patch.jpg,0,0,0,0,0,9,9,62,,,,,49.91495980002219,50.38188230001833,7.585,0.4500758000067435,10,"[0.5670187000068836, 0.6003510999726132, 0.5008471999899484, 0.5015490999794565, 0.5027066000038758, 0.434700200043153, 0.7672392000094987, 0.40063849999569356, 0.40198680001776665, 0.43390860001090914]","[0.5670241000480019, 0.6003563999547623, 0.5008520999690518, 0.5015553999692202, 0.5027142000035383, 0.4347076000412926, 0.7672446999931708, 0.40064529998926446, 0.4019935000105761, 0.43391919997520745]",666,food,0,1,BR,1,2023-07-17_14h07.53.013,crystals,2022.2.4,59.9218618900582,
