foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
cherry tomato.jpg,stimuli/food/,stimuli/food/cherry tomato.jpg,0,0,0,0,0,0,0,17,13.28139470005408,13.28139470005408,right,4.463015300221741,17.814339299919084,19.714554599951953,3.205,1.8902141000144184,1,[0.5336114000529051],[0.5336183998733759],666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
hotdog w must.jpg,stimuli/food/,stimuli/food/hotdog w must.jpg,0,0,0,0,0,1,1,34,,,,,20.780492499936372,21.64776029996574,7.9975000000000005,0.852009299909696,2,"[0.5336114000529051, 0.6843391999136657]","[0.5336183998733759, 0.6843520000111312]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
Skim milk.jpg,stimuli/food/,stimuli/food/Skim milk.jpg,0,0,0,0,0,2,2,60,,,,,22.86445329990238,23.63131819991395,2.0650000000000004,0.7504457000177354,3,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
raisin bran w milk.jpg,stimuli/food/,stimuli/food/raisin bran w milk.jpg,0,0,0,0,0,3,3,50,,,,,24.730801299912855,25.36494640004821,9.76375,0.6172869999427348,4,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
apple slices.jpg,stimuli/food/,stimuli/food/apple slices.jpg,0,0,0,0,0,4,4,3,,,,,26.39788719988428,26.964758899994195,5.94625,0.5504035998601466,5,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272, 0.5006289000157267]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455, 0.5006329999305308]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
string cheese.jpg,stimuli/food/,stimuli/food/string cheese.jpg,0,0,0,0,0,5,5,66,,,,,27.99795709992759,28.86490110005252,3.355,0.8497874001041055,6,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272, 0.5006289000157267, 0.5665063001215458]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455, 0.5006329999305308, 0.5665117001626641]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
american cheese.jpg,stimuli/food/,stimuli/food/american cheese.jpg,0,0,0,0,0,6,6,2,,,,,29.965007199905813,30.764987000031397,7.4575000000000005,0.7835119999945164,7,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272, 0.5006289000157267, 0.5665063001215458, 0.5672627999447286]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455, 0.5006329999305308, 0.5665117001626641, 0.5672689999919385]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
turkey sandwich.jpg,stimuli/food/,stimuli/food/turkey sandwich.jpg,0,0,0,0,0,7,7,71,,,,,31.864529199898243,32.631461899960414,5.44,0.7505235997959971,8,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272, 0.5006289000157267, 0.5665063001215458, 0.5672627999447286, 0.7668822000268847]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455, 0.5006329999305308, 0.5665117001626641, 0.5672689999919385, 0.7668882000725716]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
strawberries.jpg,stimuli/food/,stimuli/food/strawberries.jpg,0,0,0,0,0,8,8,65,,,,,33.93132259999402,35.048389199888334,8.51125,1.0998818001244217,9,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272, 0.5006289000157267, 0.5665063001215458, 0.5672627999447286, 0.7668822000268847, 0.6997921001166105]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455, 0.5006329999305308, 0.5665117001626641, 0.5672689999919385, 0.7668882000725716, 0.6997984000481665]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
Hershey Kisses.jpg,stimuli/food/,stimuli/food/Hershey Kisses.jpg,0,0,0,0,0,9,9,33,,,,,36.28222579997964,38.04856749996543,8.07625,1.7343959999270737,10,"[0.5336114000529051, 0.6843391999136657, 0.5675773001275957, 0.5005069999024272, 0.5006289000157267, 0.5665063001215458, 0.5672627999447286, 0.7668822000268847, 0.6997921001166105, 1.0174262002110481]","[0.5336183998733759, 0.6843520000111312, 0.5675828999374062, 0.5005123999435455, 0.5006329999305308, 0.5665117001626641, 0.5672689999919385, 0.7668882000725716, 0.6997984000481665, 1.0174336000345647]",666,food,0,1,BR,1,2023-06-29_12h46.23.686,crystals,2022.2.4,59.864645994375856,
