foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
m_and_m.jpg,stimuli/food/,stimuli/food/m_and_m.jpg,0,0,0,0,0,0,0,38,23.22350120008923,23.22350120008923,right,0.9163962998427451,24.2837567999959,25.93391970009543,6.876250000000001,1.592196499928832,1,[0.5864532000850886],[0.5864595000166446],666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
mozarella sticks.jpg,stimuli/food/,stimuli/food/mozarella sticks.jpg,0,0,0,0,0,1,1,42,,,,,27.083821300184354,27.92088450002484,7.465,0.798145700013265,2,"[0.5864532000850886, 0.6734186999965459]","[0.5864595000166446, 0.6734251999296248]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
reeses.jpg,stimuli/food/,stimuli/food/reeses.jpg,0,0,0,0,0,2,2,52,,,,,29.167028200114146,30.000541500048712,2.91625,0.7742210000287741,3,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
grilled chicken strips.jpg,stimuli/food/,stimuli/food/grilled chicken strips.jpg,0,0,0,0,0,3,3,32,,,,,31.117125099990517,31.774446400115266,5.5,0.6149601000361145,4,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
turkey sandwich.jpg,stimuli/food/,stimuli/food/turkey sandwich.jpg,0,0,0,0,0,4,4,71,,,,,32.71710480004549,33.53065610001795,9.37375,0.7816494000144303,5,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
american cheese.jpg,stimuli/food/,stimuli/food/american cheese.jpg,0,0,0,0,0,5,5,2,,,,,34.68390790000558,35.36728740017861,7.945,0.6158604000229388,6,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
string cheese.jpg,stimuli/food/,stimuli/food/string cheese.jpg,0,0,0,0,0,6,6,66,,,,,36.350881500169635,37.0118562001735,1.5962499999999997,0.6650078999809921,7,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
strawberries.jpg,stimuli/food/,stimuli/food/strawberries.jpg,0,0,0,0,0,7,7,65,,,,,38.0701441001147,38.76737330015749,3.80875,0.6227021000813693,8,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341, 0.5368288999889046]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982, 0.5368351000361145]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
baguette oil.jpg,stimuli/food/,stimuli/food/baguette oil.jpg,0,0,0,0,0,8,8,8,,,,,39.83415740006603,40.40237480006181,5.5112499999999995,0.5313711001072079,9,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341, 0.5368288999889046, 0.5510331999976188]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982, 0.5368351000361145, 0.5510409001726657]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
kiwi.jpg,stimuli/food/,stimuli/food/kiwi.jpg,0,0,0,0,0,9,9,36,,,,,41.517474099993706,42.234085500007495,1.8175,0.6650823999661952,10,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341, 0.5368288999889046, 0.5510331999976188, 0.7028651000000536]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982, 0.5368351000361145, 0.5510409001726657, 0.7028717000503093]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
PB.jpg,stimuli/food/,stimuli/food/PB.jpg,0,0,0,0,0,10,10,45,,,,,43.500861100154,44.35245030000806,9.535,0.8476013999897987,11,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341, 0.5368288999889046, 0.5510331999976188, 0.7028651000000536, 0.7285207000095397]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982, 0.5368351000361145, 0.5510409001726657, 0.7028717000503093, 0.7285275999456644]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
Hershey Kisses.jpg,stimuli/food/,stimuli/food/Hershey Kisses.jpg,0,0,0,0,0,11,11,33,,,,,45.667836300097406,46.24617430008948,7.2437499999999995,0.5206974998582155,12,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341, 0.5368288999889046, 0.5510331999976188, 0.7028651000000536, 0.7285207000095397, 0.49999179993756115]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982, 0.5368351000361145, 0.5510409001726657, 0.7028717000503093, 0.7285275999456644, 0.4999983999878168]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
steak.jpg,stimuli/food/,stimuli/food/steak.jpg,0,0,0,0,0,12,12,64,,,,,47.33411940000951,48.06771309999749,8.51125,0.6926993997767568,13,"[0.5864532000850886, 0.6734186999965459, 0.5747257999610156, 0.38428670004941523, 0.5801436000037938, 0.3818310999777168, 0.5357550999615341, 0.5368288999889046, 0.5510331999976188, 0.7028651000000536, 0.7285207000095397, 0.49999179993756115, 0.5812738998793066]","[0.5864595000166446, 0.6734251999296248, 0.5747322000097483, 0.3842927000951022, 0.5801566999871284, 0.3818384001497179, 0.5357609000056982, 0.5368351000361145, 0.5510409001726657, 0.7028717000503093, 0.7285275999456644, 0.4999983999878168, 0.5812804999295622]",666,food,0,1,BR,1,2023-06-30_13h30.32.287,crystals,2022.2.4,30.017058702048097,
